
                     mean       std    median      5.0%     95.0%     n_eff     r_hat
  L_factor[0,0]      1.00      0.00      1.00      1.00      1.00       nan       nan
  L_factor[0,1]      0.21      0.16      0.21     -0.03      0.47      7.72      1.09
  L_factor[1,0]      0.21      0.16      0.21     -0.03      0.47      7.72      1.09
  L_factor[1,1]      1.00      0.00      1.00      1.00      1.00    499.87      1.00
           Z[0]      0.51      0.36      0.47     -0.06      1.09      9.47      1.26
           Z[1]     -0.11      0.13     -0.06     -0.30      0.08      9.41      1.01
           Z[2]      0.75      0.41      0.71      0.13      1.49     15.14      1.03
           Z[3]      0.45      0.14      0.47      0.21      0.66     18.52      1.06
           Z[4]     -0.07      0.64     -0.20     -0.88      1.09     10.22      1.04
           Z[5]      0.96      0.18      0.93      0.69      1.28      9.48      1.00
           Z[6]      0.44      0.90      0.77     -1.10      1.51      2.85      2.18
           Z[7]     -2.10      0.43     -2.08     -2.72     -1.40      3.19      2.36
           Z[8]     -0.63      0.68     -0.60     -1.67      0.44      9.78      1.00
           Z[9]     -0.40      0.26     -0.41     -0.82      0.04     10.01      1.13
          Z[10]     -0.41      0.69     -0.43     -1.45      0.67     11.51      1.27
          Z[11]      0.53      0.29      0.53      0.08      1.02      5.93      1.65
          Z[12]      0.46      0.61      0.57     -0.46      1.38      8.36      1.01
          Z[13]      0.93      0.29      0.88      0.40      1.40      8.35      1.01
          Z[14]      0.49      0.90      0.57     -0.90      1.90      7.33      1.27
          Z[15]      1.28      0.32      1.25      0.80      1.86      6.08      1.31
          Z[16]     -0.77      0.66     -0.88     -1.78      0.18      6.21      1.07
          Z[17]     -1.55      0.39     -1.49     -2.21     -1.06      6.48      1.13
          Z[18]      0.32      1.00      0.37     -1.36      1.74      2.76      2.41
          Z[19]     -0.60      0.25     -0.55     -1.03     -0.27      3.28      2.13
  kernel_length      2.96      1.88      2.32      0.80      5.94      8.45      1.18
     kernel_var      0.56      0.55      0.41      0.02      1.43      5.07      1.47
      sigmas[0]      2.43      3.54      1.37      0.44      3.48     10.88      1.11
      sigmas[1]      8.30      1.24      8.12      6.40     10.59      6.68      1.26

Number of divergences: 0
