
                     mean       std    median      5.0%     95.0%     n_eff     r_hat
  L_factor[0,0]      1.00      0.00      1.00      1.00      1.00       nan       nan
  L_factor[0,1]     -0.01      0.57      0.00     -0.86      0.90    246.93      1.00
  L_factor[1,0]     -0.01      0.57      0.00     -0.86      0.90    246.93      1.00
  L_factor[1,1]      1.00      0.00      1.00      1.00      1.00    254.25      1.00
           Z[0]      0.02      0.81      0.03     -1.28      1.38   2734.02      1.00
           Z[1]      0.00      0.57      0.00     -0.91      0.99   2043.24      1.00
           Z[2]      0.00      0.86     -0.02     -1.42      1.39   1158.27      1.00
           Z[3]      0.40      0.59      0.46     -0.60      1.33   1910.34      1.00
           Z[4]     -0.00      0.94      0.01     -1.42      1.63    800.60      1.00
           Z[5]      0.59      0.60      0.66     -0.39      1.60   1871.88      1.00
           Z[6]      0.02      1.06      0.01     -1.64      1.74    560.34      1.00
           Z[7]      0.86      0.66      0.94     -0.19      1.93   1618.19      1.00
           Z[8]     -0.03      1.44     -0.02     -2.27      2.18    336.84      1.00
           Z[9]     -1.60      0.77     -1.72     -2.78     -0.33   1288.49      1.00
          Z[10]      0.00      0.86     -0.01     -1.39      1.41   1378.72      1.00
          Z[11]      0.29      0.66      0.32     -0.79      1.32   2133.63      1.00
          Z[12]      0.02      0.84      0.02     -1.41      1.35   1477.09      1.00
          Z[13]     -0.31      0.59     -0.34     -1.13      0.77   1735.01      1.00
          Z[14]     -0.00      0.86     -0.01     -1.44      1.39   1411.56      1.00
          Z[15]      0.41      0.59      0.44     -0.56      1.40   1976.22      1.00
          Z[16]     -0.01      0.88     -0.03     -1.44      1.45   1246.27      1.00
          Z[17]      0.42      0.60      0.46     -0.59      1.39   2107.19      1.00
          Z[18]     -0.03      0.99     -0.04     -1.64      1.55    655.27      1.01
          Z[19]      0.78      0.62      0.85     -0.34      1.74   1513.19      1.00
          Z[20]      0.04      1.52      0.08     -2.43      2.29    316.01      1.00
          Z[21]     -1.75      0.81     -1.87     -3.01     -0.47   1075.30      1.00
          Z[22]     -0.02      0.87     -0.02     -1.49      1.37   2339.23      1.00
          Z[23]      0.21      0.65      0.22     -0.86      1.25   2326.16      1.00
          Z[24]      0.01      0.89      0.04     -1.41      1.51   1093.67      1.00
          Z[25]     -0.45      0.62     -0.50     -1.46      0.56   1865.24      1.00
          Z[26]     -0.02      0.85     -0.04     -1.49      1.27   1873.31      1.00
          Z[27]      0.28      0.60      0.30     -0.76      1.19   2186.83      1.00
  kernel_length      0.06      0.01      0.06      0.05      0.08   1805.46      1.00
      sigmas[0]      1.66      2.44      0.99      0.04      3.63   2930.41      1.00
      sigmas[1]      1.14      0.27      1.09      0.70      1.54   1607.11      1.00

Number of divergences: 130
