
                                   mean       std    median      5.0%     95.0%     n_eff     r_hat
          grass-L_factor[0,0]      1.00      0.00      1.00      1.00      1.00       nan       nan
          grass-L_factor[0,1]     -0.02      0.58     -0.06     -0.96      0.79    168.20      1.00
          grass-L_factor[1,0]     -0.02      0.58     -0.06     -0.96      0.79    168.20      1.00
          grass-L_factor[1,1]      1.00      0.00      1.00      1.00      1.00     39.65      1.00
          grass-kernel_length      0.03      0.04      0.01      0.00      0.08    264.91      1.00
             grass-kernel_var     11.50     57.36      1.04      0.00     14.56    118.00      1.00
           grass-proj_mean[0]      0.01      1.01     -0.02     -1.52      1.83    419.66      1.00
           grass-proj_mean[1]      0.20      0.45      0.22     -0.51      0.97    329.54      1.00
              grass-sigmas[0]      1.51      1.75      0.89      0.10      3.43    442.07      1.00
              grass-sigmas[1]      1.57      1.99      1.02      0.03      3.59    366.14      1.00
grass-standard_proj_params[0]      0.01      0.90      0.03     -1.44      1.46    317.07      1.00
grass-standard_proj_params[1]     -0.19      0.71     -0.19     -1.32      0.96    413.68      1.00
grass-standard_proj_params[2]     -0.01      1.22      0.01     -2.17      1.87    260.82      1.00
grass-standard_proj_params[3]      1.06      0.81      1.04     -0.25      2.35    388.57      1.01
grass-standard_proj_params[4]      0.07      0.87      0.10     -1.29      1.53    281.62      1.00
grass-standard_proj_params[5]     -0.44      0.67     -0.47     -1.44      0.72    364.71      1.00
grass-standard_proj_params[6]     -0.06      0.96     -0.12     -1.70      1.46    362.21      1.00
grass-standard_proj_params[7]      0.59      0.72      0.62     -0.50      1.71    277.27      1.00
grass-standard_proj_params[8]      0.03      1.08      0.01     -1.58      1.76    260.29      1.00
grass-standard_proj_params[9]     -0.83      0.75     -0.85     -2.08      0.30    301.46      1.00
            reg-kernel_length      0.24      0.05      0.23      0.16      0.32    337.82      1.00
             reg-kernel_noise      0.22      0.03      0.22      0.17      0.27    425.65      1.00
               reg-kernel_var      1.11      0.50      1.01      0.46      1.86    496.12      1.00

Number of divergences: 1
